industry_category,stock_id,stock_name,type
通信網路業,3380,明泰,twse
光電業,3383,新世紀,twse
電子零組件業,3388,崇越電,tpex
電子零組件業,3390,旭軟,tpex
其他電子業,3402,漢科,tpex
光電業,3406,玉晶光,twse
半導體業,3413,京鼎,twse
電腦及週邊設備業,3416,融程電,twse
通信網路業,3419,譁裕,twse
電機機械,3426,台興,tpex
電子零組件業,3432,台端,twse
光電業,3434,哲固,tpex
光電業,3437,榮創,twse
半導體業,3438,類比科,tpex
光電業,3441,聯一光,tpex
半導體業,3443,創意,twse
電子通路業,3444,利機,tpex
其他電子業,3450,聯鈞,twse
光電業,3454,晶睿,twse
光電業,3455,由田,tpex
電子零組件業,3465,進泰電子,tpex
通信網路業,3466,致振,tpex
半導體業,3474,華亞科,twse
電腦及週邊設備業,3479,安勤,tpex
光電業,3481,群創,twse
電腦及週邊設備業,3483,力致,tpex
電子零組件業,3484,崧騰,tpex
建材營造,3489,森寶,tpex
光電業,3490,單井,tpex
通信網路業,3491,昇達科,tpex
電子零組件業,3492,長盛,tpex
電腦及週邊設備業,3494,誠研,twse
其他電子業,3498,陽程,tpex
通信網路業,3499,環天科,tpex
電子零組件業,3501,維熹,twse
光電業,3504,揚明光,twse
其他電子業,3508,位速,tpex
電子零組件業,3511,矽瑪,tpex
電子零組件業,3512,皇龍,tpex
光電業,3514,昱晶,twse
電腦及週邊設備業,3515,華擎,twse
光電業,3516,亞帝歐,tpex
其他電子業,3518,柏騰,twse
半導體業,3519,綠能,twse
電子零組件業,3520,華盈,tpex
電腦及週邊設備業,3521,鴻翊,tpex
觀光事業,3522,御頂,tpex
光電業,3523,迎輝,tpex
電子零組件業,3526,凡甲,tpex
半導體業,3527,聚積,tpex
電子通路業,3528,安馳,twse
半導體業,3529,力旺,tpex
半導體業,3530,晶相光,twse
光電業,3531,先益,tpex
半導體業,3532,台勝科,twse
電子零組件業,3533,嘉澤,twse
半導體業,3534,雷凌,twse
光電業,3535,晶彩科,twse
